t_us,x_raw,y_raw,z_raw
1301443865,269,32,-33
1301445115,268,36,-30
1301446365,268,29,-36
1301447615,265,29,-36
1301448865,264,27,-34
1301450115,268,30,-32
1301451365,265,29,-37
1301452615,267,25,-36
1301453865,265,25,-38
1301455115,267,27,-30
1301456365,264,29,-33
1301457615,265,28,-35
1301458865,265,33,-32
1301460115,263,31,-37
1301461365,264,27,-35
1301462615,265,27,-29
1301463865,266,30,-31
1301465115,266,26,-39
1301466365,268,26,-39
1301467615,267,30,-29
1301468865,263,29,-33
1301471455,266,28,-38
1301472705,265,29,-36
1301473955,269,32,-25
1301475205,264,29,-28
1301476455,268,29,-32
1301477705,269,32,-34
1301478955,265,27,-37
1301480205,267,26,-36
1301481455,266,32,-30
1301482705,265,28,-33
1301483955,266,25,-37
1301485205,267,28,-37
1301486455,267,28,-34
1301487705,265,26,-34
1301488955,264,25,-38
1301490205,266,26,-30
1301491455,266,27,-36
1301492705,264,32,-34
1301493955,264,27,-36
1301495205,266,32,-30
1301496455,264,26,-33
1301497705,263,29,-34
1301498955,268,26,-32
1301500205,265,30,-37
1301501455,267,26,-31
1301503952,267,28,-40
1301505202,268,37,-34
1301506452,271,28,-35
1301507702,269,29,-37
1301508952,266,32,-37
1301510202,262,31,-33
1301511452,262,30,-34
1301512702,265,26,-33
1301513952,265,26,-35
1301515202,266,28,-31
1301516452,271,23,-34
1301517702,264,30,-29
1301518952,265,28,-35
1301520202,267,29,-37
1301521452,268,28,-33
1301522702,266,29,-31
1301523952,264,28,-33
1301525202,267,30,-37
1301526452,267,27,-36
1301527702,269,25,-36
1301528952,266,26,-33
1301530202,268,27,-35
1301531452,264,27,-32
1301532702,263,26,-40
1301533952,268,27,-35
1301536370,267,23,-34
1301537620,269,34,-34
1301538870,266,32,-32
1301540120,268,28,-37
1301541370,265,29,-32
1301542620,272,24,-28
1301543870,266,28,-32
1301545120,267,27,-33
1301546370,268,27,-33
1301547620,265,28,-29
1301548870,265,27,-38
1301550120,267,28,-31
1301551370,266,27,-31
1301552620,267,28,-36
1301553870,267,26,-31
1301555120,263,27,-33
1301556370,264,31,-32
1301557620,263,25,-32
1301558870,262,28,-34
